Occupations;Code;Pekerjaan
Abstractor;CAE;Abstraktor
Abstractor;CAI;Abstraktor
Abstractor;CAR;Abstraktor
Abstractor;CAS;Abstraktor
Abstractor;CEA;Abstraktor
Abstractor;CSA;Abstraktor
Abstractor;CSI;Abstraktor
Abstractor (CSI);ICS;Abstraktor
Abstractor (CSI);SCI;Abstraktor
Academic Advisor;SCA;Penasehat akademik
Academic Advisor;SEC;Penasehat akademik
Academic Advisor;SRA;Penasehat akademik
Accountant;CAE;Akuntan
Accountant;CAI;Akuntan
Accountant;CAR;Akuntan
Accountant;CAS;Akuntan
Accountant;CEA;Akuntan
Accountant;CSA;Akuntan
Accountant;CSI;Akuntan
"Accountant, Cost";CAE;Akuntan biaya
"Accountant, Cost";CAI;Akuntan biaya
"Accountant, Cost";CAR;Akuntan biaya
"Accountant, Cost";CAS;Akuntan biaya
"Accountant, Cost";CEA;Akuntan biaya
"Accountant, Cost";CIE;Akuntan biaya
"Accountant, Cost";CSA;Akuntan biaya
"Accountant, Cost (CIE)";ICE;Akuntan biaya
"Accountant, Cost (CIE)";CEI;Akuntan biaya
Accountant (CSI);ICS;Akuntan biaya
Accountant (CSI);SCI;Akuntan biaya
"Accountant, Property";CAE;"Akuntant, Properti"
"Accountant, Property";CAI;"Akuntant, Properti"
"Accountant, Property";CAR;"Akuntant, Properti"
"Accountant, Property";CAS;"Akuntant, Properti"
"Accountant, Property";CEA;"Akuntant, Properti"
"Accountant, Property";CER;"Akuntant, Properti"
"Accountant, Property";CSA;"Akuntant, Properti"
"Accountant, Systems";CAE;"Akuntant, Sistem"
"Accountant, Systems";CAI;"Akuntant, Sistem"
"Accountant, Systems";CAR;"Akuntant, Sistem"
"Accountant, Systems";CAS;"Akuntant, Sistem"
"Accountant, Systems";CEA;"Akuntant, Sistem"
"Accountant, Systems";CSA;"Akuntant, Sistem"
"Accountant, Systems";CSE;"Akuntant, Sistem"
"Accountant, Tax";ECS;"Akuntan, Pajak"
Account Executive;AES;"Akuntan, Pajak"
Accounting Clerk;CAE;"Akuntan, Juru Tulis"
Accounting Clerk;CAI;"Akuntan, Juru Tulis"
Accounting Clerk;CAR;"Akuntan, Juru Tulis"
Accounting Clerk;CAS;"Akuntan, Juru Tulis"
Accounting Clerk;CEA;"Akuntan, Juru Tulis"
Accounting Clerk;CSA;"Akuntan, Juru Tulis"
Accounting Clerk;CSR;"Akuntan, Juru Tulis"
Acquisitions Librarian;SAI;pustakawan akuisisi
Acquisitions Librarian;SCA;pustakawan akuisisi
Acquisitions Librarian;SRA;pustakawan akuisisi
Acquisitions Librarian (SAI);AIS;pustakawan akuisisi
Acquisitions Librarian (SAI);IAS;pustakawan akuisisi
Acrobat;AER;
Acrobat (AER);ERA;
Actor;AES;
Actors;AEI;
Actors (AEI);AIE;
Actors (AEI);EAI;
Actuary;IAC;aktuaris
Actuary;IAE;aktuaris
Actuary;ICA;aktuaris
Actuary;IEA;aktuaris
Actuary;ISE;aktuaris
Acupressurist;IAC;Akupresur
Acupressurist;IAE;Akupresur
Acupressurist;ICA;Akupresur
Acupressurist;IEA;Akupresur
Acupressurist;ISR;Akupresur
Acupunturist;IAC;Ahli Akupunktur
Acupunturist;IAE;Ahli Akupunktur
Acupunturist;ICA;Ahli Akupunktur
Acupunturist;IEA;Ahli Akupunktur
Acupunturist;IRE;Ahli Akupunktur
Acupunturist (IRE);SEA;Ahli Akupunktur
Adapted Physical Education Specialist;SCA;Spesialis Pendidikan Jasmani Yang Diadaptasi
Adapted Physical Education Specialist;SRA;Spesialis Pendidikan Jasmani Yang Diadaptasi
Adapted Physical Education Specialist;SRE;Spesialis Pendidikan Jasmani Yang Diadaptasi
Adhesive Bonding Machine Operator;RAI;Operator Mesin Perekat
Adhesive Bonding Machine Operator;RCS;Operator Mesin Perekat
Administrative Assistant;ESC;Asisten administratif
"Administrator, Health Care Facility";SCA;"Administrator, Fasilitas Perawatan Kesehatan"
"Administrator, Health Care Facility";SER;"Administrator, Fasilitas Perawatan Kesehatan"
"Administrator, Health Care Facility";SRA;"Administrator, Fasilitas Perawatan Kesehatan"
Advertising Sales Agent;ERS;Agen Penjualan Periklanan
"Agent, Artists";ESA;"Agen, Artis"
"Agent, Athletes";ESR;"Agen, Atlet"
Agricultural Inspector;RAI;Inspektur/Pengawas Pertanian
Agricultural Inspector;RIC;Inspektur/Pengawas Pertanian
Agricultural Inspector (RIC);CRI;Inspektur/Pengawas Pertanian
Agricultural Inspector (RIC);CIR;Inspektur/Pengawas Pertanian
Agronomist;IAC;Ahli agronomi
Agronomist;IAE;Ahli agronomi
Agronomist;ICA;Ahli agronomi
Agronomist;IEA;Ahli agronomi
Agronomist;IRS;Ahli agronomi
Air Analyst;IAC;Analis Udara
Air Analyst;IAE;Analis Udara
Air Analyst;ICA;Analis Udara
Air Analyst;IEA;Analis Udara
Air Analyst;IRS;Analis Udara
"Aircraft Mechanic, Eletrical and Radio";RAI;"Mekanik Pesawat, Listrik dan Radio"
"Aircraft Mechanic, Eletrical and Radio";RIE;"Mekanik Pesawat, Listrik dan Radio"
Airfield Operations Specialist;RAI;Spesialis Operasi Lapangan Terbang
Airfield Operations Specialist;RES;Spesialis Operasi Lapangan Terbang
Airline Radio Operator;CAE;Operator Radio Penerbangan
Airline Radio Operator;CAI;Operator Radio Penerbangan
Airline Radio Operator;CAR;Operator Radio Penerbangan
Airline Radio Operator;CAS;Operator Radio Penerbangan
Airline Radio Operator;CEA;Operator Radio Penerbangan
Airline Radio Operator;CRE;Operator Radio Penerbangan
Airline Radio Operator;CSA;Operator Radio Penerbangan
Airplane and Power Plant Mechanic;RAI;Mekanik pembangkit listrik dan pesawat terbang
Airplane and Power Plant Mechanic;RIE;Mekanik pembangkit listrik dan pesawat terbang
Airplane Inspector;RAI;Inspektur Pesawat
Airplane Inspector;RES;Inspektur Pesawat
Airplane Repairer;RAI;Ahli reparasi Pesawat
Airplane Repairer;RIE;Ahli reparasi Pesawat
Airport Maintenance Chief;ERS;Kepala Pemeliharaan Bandara
