Program Studi;Kode
Applied Horticulture/Horticulture Operations;RIA
Aquaculture;RIA
Business Machine Repair;RIA
Cabinet Making and Millwork;RIA
Communications Techology/Technician;RIA
Computer Installation and Repair Technology/Technician;RIA
Environmental Control Technology/Technician;RIA
Hazardous Mataerials Information Systems Technology/Technician;RIA
Mining Technology/Technician;RIA
Nuclear Medical Technology/Technologist;RIA
Opticianty/Opththalmic Dispensing Optician;RIA
Ornamental Horticulture;RIA
Poultry Science;RIA
Telecommunications Techology/Technician;RIA
Urban Forestry;RIA
Aeronautical/Aerospace Engineering Technology/Technician;RIA
Agricultural Mechanics and Equipment/Machine Technology;RIA
Aircraft Powerplant Technology/Technician;RIA
Airframe Mechanics and Aircraft Maintenance Technology/Technician;RIA
Airline/Commercial/Professional/Pilot and Flight Crew;RIA
Appliance Installation and Repair Technology/Technician;RIA
Biology Technician/Biotechnology/Laboratory Technician;RIA
Biomedical Technology/Technician;RIA
Blastig/Blaster;RIA
Civil Drafting and Civil Egineering CAD/CADD;RIA
Computer Engineerig Technology/Technician;RIA
Engine Machinist;RIA
Engineering/Industrial Management;RIA
Flight Instructor;RIA
Gunsmithing/Gunsmith;RIA
Instrumentation Technology/Technician;RIA
Machine Shop Technology/Assistant;RIA
Motorcycle Maintenance and Repair Technology/Technician;RIA
Ophthalmic Laboratory Technology/Technician;RIA
Welding Engineering Technology/Technician;RIA
Welding Technology/Welder;RIA
Alternative Fuel Vehicle Tecchnology/Technician;RIA
Building Construction Technology;RIA
Construction Engineering Technology/Technician;RIA
Forestry;RIA
Mining and Petroleum Techology/Technician;RIA
Petroleum Technology/Technician;RIA
Quality Control Technology/Technician;RIA
Vehicle Emissions Inspection and Maintenance Techology;RIA
Vehicle Maintenance and Repair Technology;RIA
Baking and Pastry Arts/Baker/Pastry Chef;RIA
Cooking and Related Culinary Arts;RIA
Culinary Arts/Chef Training;RIA
Animal/Livestock Husbandry and Production;RIA
Diagnostic Medical Sonography/Sonographer and Ultrasound Techinican;RIA
Emergency Medical Technology/Technician (EMT Paramedic);RIA
Fire Science/Fire Fighting;RIA
Horse Husbandry/Equine Science and Management;RIA
Aesthetician/Esthetician and Skin Care Specialist;RIA
Facial Treatment Specialist/Facialist;RIA
Agricultural Power Machinery Operation;RIA
Assertive/Argumentative Technology and Rehabilitation Egineering;RIA
Meat Cutting/Meat Cutter;RIA
Orthodontics/Orthodontology;RIA
Bicycle Mechanics and Repair Technology/Technician;RIA
Precision Metal Working;RIA
Agricultural Mechanization;RIA
Agricultural Teacher Education;RIA
Commercial Fishing;RIA
Communications Systems Installation and Repair Technology;RIA
Diesel Mechanics Technology/Technician;RIA
Greenhouse Operations and Management;RIA
Industrial Mechanics and Maintenance Technology;RIA
Marine Maintenance/Fitter and Ship Repair Technology/Technician;RIA
Metal Building Assembly/Assembler;RIA
Metallurgical Technology/Technician;RIA
Plumbing Techology/Plumber;RIA
Sheet Metal Technology/Sheetworking;RIA
"Traffic, Customs, and Transportation Clerk/Technician";RIA
Turf and Turfgrass Management;RIA
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician;RIA
Woodworking;RIA
Graphic Communications;RIA
Agricultural Animal Breeding;RIA
Animal Training;RIA
Building/Property Maintenance;RIA
Concrete Finishing/Concrete Finisher;RIA
"Diver, Professional and Instructor";RIA
Equestrian/Equine Studies;RIA
Fishing and Fisheries Science and Management;RIA
Health and Physical Education/Fitness;RIA
"Heating, Air Conditioning, Vetilation, and Refrigeration Maintenance Technology/Techician";RIA
"Heating, Ventilation, Air Conditioning, and Refrigeration Engineering Technology/Technician";RIA
Maritime Studies;RIA
Mason/Maasonry;RIA
Massage Therapy/Therapeutic Massage;RIA
Agribusiness/Agricultural Business Operations;RIA
Agricultural Busiess and Management;RIA
Agricultural Business Technology;RIA
Building/Home/Costruction Inspection/Inspector;RIA
Criminalistics and Criminal Science;RIA
Dental Laboratory Techology/Technician;RIA
Locksmithing and Safe Repair;RIA
Metal and Jewelry Arts;RIA
Plastics and Polymer Engineering Technology/Technician;RIA
Roofer;RIA
Small Engine Mechanics and Repair Technology/Technician;RIA
Watchmaking and Jewelry Making;RIA
Automobile/Automotive Mechanics Technology/Technician;RIA
Automotive Engineering Technology/Technician;RIA
Construction/Heavy Equipment/Earthmoving Equipment Operation;RIA
Dog/Pet/Animal Grooming;RIA
Electrocardiograph Technology/Technician;RIA
Engineering Acoustics;RIA
Industrial Electronics Technology/Technician;RIA
Integrated Circuit Design;RIA
Mortuary Science and Embalming/Embalmer;RIA
Operational Oceanography;RIA
Photographic and Film/Video Technology/Technician and Assistant;RIA
Printing Press Operator;RIA
Radar Communications ad Systems Technology;RIA
Recording  Arts Technology/Technician;RIA
Recreation Vehicle (RV) Service Technician;RIA
Semiconductor Manufacturing Technology;RIA
Solar Energy Technology/Technician;RIA
Tool and Die Technology/Technician;RIA
Undersea Warfare;RIA
Electrical and Power Transmission Installation;RIA
Electroneurodiagostic/Electroencephalographic Technology/Technologist;RIA
Furniture Design and Manufacturing;RIA
Industrial Radiologic Technology/Technician;RIA
Medium/Heavy Vehicle and Truck Technology/Technician;RIA
Nuclear and Industrial Radiologic Technology/Technician;RIA
Nuclear Engineering Technology/Technician;RIA
Nuclear/Nuclear Power Technology/Technician;RIA
Parts and Warehousing Operations and Maintenance Technology/Technician;RIA
Polysomnography;RIA
"Security System Installation, Repair, and Inspection Technology/Technician";RIA
Traffic Control;RIA
Truck and Bus Driver/Commercial Vehicle Operator and Instructor;RIA
Upholstery/Upholsterer;RIA
Apparel and Tectile Manufacture;RIA
Carpentery/Carpenter;RIA
Landscaping and Groundskeeping;RIA
Pipefitting/Pipefitter and Sprinkler Fitter;RIA
Plumbing and Related Water Supply Services;RIA
Applied Horticulture/Horticulture Operations;RIS
Aquaculture;RIS
Business Machine Repair;RIS
Cabinet Making and Millwork;RIS
Communications Techology/Technician;RIS
Computer Installation and Repair Technology/Technician;RIS
Environmental Control Technology/Technician;RIS
Hazardous Mataerials Information Systems Technology/Technician;RIS
Mining Technology/Technician;RIS
Nuclear Medical Technology/Technologist;RIS
Opticianty/Opththalmic Dispensing Optician;RIS
Ornamental Horticulture;RIS
Poultry Science;RIS
Telecommunications Techology/Technician;RIS
Urban Forestry;RIS
Aeronautical/Aerospace Engineering Technology/Technician;RIE
Agricultural Mechanics and Equipment/Machine Technology;RIE
Aircraft Powerplant Technology/Technician;RIE
Airframe Mechanics and Aircraft Maintenance Technology/Technician;RIE
Airline/Commercial/Professional/Pilot and Flight Crew;RIE
Appliance Installation and Repair Technology/Technician;RIE
Biology Technician/Biotechnology/Laboratory Technician;RIE
Biomedical Technology/Technician;RIE
Blastig/Blaster;RIE
Civil Drafting and Civil Egineering CAD/CADD;RIE
Computer Engineerig Technology/Technician;RIE
Engine Machinist;RIE
Engineering/Industrial Management;RIE
Flight Instructor;RIE
Gunsmithing/Gunsmith;RIE
Instrumentation Technology/Technician;RIE
Machine Shop Technology/Assistant;RIE
Motorcycle Maintenance and Repair Technology/Technician;RIE
Ophthalmic Laboratory Technology/Technician;RIE
Welding Engineering Technology/Technician;RIE
Welding Technology/Welder;RIE
Alternative Fuel Vehicle Tecchnology/Technician;RIC
Building Construction Technology;RIC
Construction Engineering Technology/Technician;RIC
Forestry;RIC
Mining and Petroleum Techology/Technician;RIC
Petroleum Technology/Technician;RIC
Quality Control Technology/Technician;RIC
Vehicle Emissions Inspection and Maintenance Techology;RIC
Vehicle Maintenance and Repair Technology;RIC
Applied Horticulture/Horticulture Operations;RAI
Aquaculture;RAI
Business Machine Repair;RAI
Cabinet Making and Millwork;RAI
Communications Techology/Technician;RAI
Computer Installation and Repair Technology/Technician;RAI
Environmental Control Technology/Technician;RAI
Hazardous Mataerials Information Systems Technology/Technician;RAI
Mining Technology/Technician;RAI
Nuclear Medical Technology/Technologist;RAI
Opticianty/Opththalmic Dispensing Optician;RAI
Ornamental Horticulture;RAI
Poultry Science;RAI
Telecommunications Techology/Technician;RAI
Urban Forestry;RAI
Aeronautical/Aerospace Engineering Technology/Technician;RAI
Agricultural Mechanics and Equipment/Machine Technology;RAI
Aircraft Powerplant Technology/Technician;RAI
Airframe Mechanics and Aircraft Maintenance Technology/Technician;RAI
Airline/Commercial/Professional/Pilot and Flight Crew;RAI
Appliance Installation and Repair Technology/Technician;RAI
Biology Technician/Biotechnology/Laboratory Technician;RAI
Biomedical Technology/Technician;RAI
Blastig/Blaster;RAI
Civil Drafting and Civil Egineering CAD/CADD;RAI
Computer Engineerig Technology/Technician;RAI
Engine Machinist;RAI
Engineering/Industrial Management;RAI
Flight Instructor;RAI
Gunsmithing/Gunsmith;RAI
Instrumentation Technology/Technician;RAI
Machine Shop Technology/Assistant;RAI
Motorcycle Maintenance and Repair Technology/Technician;RAI
Ophthalmic Laboratory Technology/Technician;RAI
Welding Engineering Technology/Technician;RAI
Welding Technology/Welder;RAI
Alternative Fuel Vehicle Tecchnology/Technician;RAI
Building Construction Technology;RAI
Construction Engineering Technology/Technician;RAI
Forestry;RAI
Mining and Petroleum Techology/Technician;RAI
Petroleum Technology/Technician;RAI
Quality Control Technology/Technician;RAI
Vehicle Emissions Inspection and Maintenance Techology;RAI
Vehicle Maintenance and Repair Technology;RAI
Baking and Pastry Arts/Baker/Pastry Chef;RAI
Cooking and Related Culinary Arts;RAI
Culinary Arts/Chef Training;RAI
Animal/Livestock Husbandry and Production;RAI
Diagnostic Medical Sonography/Sonographer and Ultrasound Techinican;RAI
Emergency Medical Technology/Technician (EMT Paramedic);RAI
Fire Science/Fire Fighting;RAI
Horse Husbandry/Equine Science and Management;RAI
Aesthetician/Esthetician and Skin Care Specialist;RAI
Facial Treatment Specialist/Facialist;RAI
Agricultural Power Machinery Operation;RAI
Assertive/Argumentative Technology and Rehabilitation Egineering;RAI
Meat Cutting/Meat Cutter;RAI
Orthodontics/Orthodontology;RAI
Bicycle Mechanics and Repair Technology/Technician;RAI
Precision Metal Working;RAI
Agricultural Mechanization;RAI
Agricultural Teacher Education;RAI
Commercial Fishing;RAI
Communications Systems Installation and Repair Technology;RAI
Diesel Mechanics Technology/Technician;RAI
Greenhouse Operations and Management;RAI
Industrial Mechanics and Maintenance Technology;RAI
Marine Maintenance/Fitter and Ship Repair Technology/Technician;RAI
Metal Building Assembly/Assembler;RAI
Metallurgical Technology/Technician;RAI
Plumbing Techology/Plumber;RAI
Sheet Metal Technology/Sheetworking;RAI
"Traffic, Customs, and Transportation Clerk/Technician";RAI
Turf and Turfgrass Management;RAI
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician;RAI
Woodworking;RAI
Graphic Communications;RAI
Agricultural Animal Breeding;RAI
Animal Training;RAI
Building/Property Maintenance;RAI
Concrete Finishing/Concrete Finisher;RAI
"Diver, Professional and Instructor";RAI
Equestrian/Equine Studies;RAI
Fishing and Fisheries Science and Management;RAI
Health and Physical Education/Fitness;RAI
"Heating, Air Conditioning, Vetilation, and Refrigeration Maintenance Technology/Techician";RAI
"Heating, Ventilation, Air Conditioning, and Refrigeration Engineering Technology/Technician";RAI
Maritime Studies;RAI
Mason/Maasonry;RAI
Massage Therapy/Therapeutic Massage;RAI
Agribusiness/Agricultural Business Operations;RAI
Agricultural Busiess and Management;RAI
Agricultural Business Technology;RAI
Building/Home/Costruction Inspection/Inspector;RAI
Criminalistics and Criminal Science;RAI
Dental Laboratory Techology/Technician;RAI
Locksmithing and Safe Repair;RAI
Metal and Jewelry Arts;RAI
Plastics and Polymer Engineering Technology/Technician;RAI
Roofer;RAI
Small Engine Mechanics and Repair Technology/Technician;RAI
Watchmaking and Jewelry Making;RAI
Automobile/Automotive Mechanics Technology/Technician;RAI
Automotive Engineering Technology/Technician;RAI
Construction/Heavy Equipment/Earthmoving Equipment Operation;RAI
Dog/Pet/Animal Grooming;RAI
Electrocardiograph Technology/Technician;RAI
Engineering Acoustics;RAI
Industrial Electronics Technology/Technician;RAI
Integrated Circuit Design;RAI
Mortuary Science and Embalming/Embalmer;RAI
Operational Oceanography;RAI
Photographic and Film/Video Technology/Technician and Assistant;RAI
Printing Press Operator;RAI
Radar Communications ad Systems Technology;RAI
Recording  Arts Technology/Technician;RAI
Recreation Vehicle (RV) Service Technician;RAI
Semiconductor Manufacturing Technology;RAI
Solar Energy Technology/Technician;RAI
Tool and Die Technology/Technician;RAI
Undersea Warfare;RAI
Electrical and Power Transmission Installation;RAI
Electroneurodiagostic/Electroencephalographic Technology/Technologist;RAI
Furniture Design and Manufacturing;RAI
Industrial Radiologic Technology/Technician;RAI
Medium/Heavy Vehicle and Truck Technology/Technician;RAI
Nuclear and Industrial Radiologic Technology/Technician;RAI
Nuclear Engineering Technology/Technician;RAI
Nuclear/Nuclear Power Technology/Technician;RAI
Parts and Warehousing Operations and Maintenance Technology/Technician;RAI
Polysomnography;RAI
"Security System Installation, Repair, and Inspection Technology/Technician";RAI
Traffic Control;RAI
Truck and Bus Driver/Commercial Vehicle Operator and Instructor;RAI
Upholstery/Upholsterer;RAI
Apparel and Tectile Manufacture;RAI
Carpentery/Carpenter;RAI
Landscaping and Groundskeeping;RAI
Pipefitting/Pipefitter and Sprinkler Fitter;RAI
Plumbing and Related Water Supply Services;RAI
Baking and Pastry Arts/Baker/Pastry Chef;RAS
Cooking and Related Culinary Arts;RAS
Culinary Arts/Chef Training;RAS
Applied Horticulture/Horticulture Operations;RAE
Aquaculture;RAE
Business Machine Repair;RAE
Cabinet Making and Millwork;RAE
Communications Techology/Technician;RAE
Computer Installation and Repair Technology/Technician;RAE
Environmental Control Technology/Technician;RAE
Hazardous Mataerials Information Systems Technology/Technician;RAE
Mining Technology/Technician;RAE
Nuclear Medical Technology/Technologist;RAE
Opticianty/Opththalmic Dispensing Optician;RAE
Ornamental Horticulture;RAE
Poultry Science;RAE
Telecommunications Techology/Technician;RAE
Urban Forestry;RAE
Aeronautical/Aerospace Engineering Technology/Technician;RAE
Agricultural Mechanics and Equipment/Machine Technology;RAE
Aircraft Powerplant Technology/Technician;RAE
Airframe Mechanics and Aircraft Maintenance Technology/Technician;RAE
Airline/Commercial/Professional/Pilot and Flight Crew;RAE
Appliance Installation and Repair Technology/Technician;RAE
Biology Technician/Biotechnology/Laboratory Technician;RAE
Biomedical Technology/Technician;RAE
Blastig/Blaster;RAE
Civil Drafting and Civil Egineering CAD/CADD;RAE
Computer Engineerig Technology/Technician;RAE
Engine Machinist;RAE
Engineering/Industrial Management;RAE
Flight Instructor;RAE
Gunsmithing/Gunsmith;RAE
Instrumentation Technology/Technician;RAE
Machine Shop Technology/Assistant;RAE
Motorcycle Maintenance and Repair Technology/Technician;RAE
Ophthalmic Laboratory Technology/Technician;RAE
Welding Engineering Technology/Technician;RAE
Welding Technology/Welder;RAE
Alternative Fuel Vehicle Tecchnology/Technician;RAE
Building Construction Technology;RAE
Construction Engineering Technology/Technician;RAE
Forestry;RAE
Mining and Petroleum Techology/Technician;RAE
Petroleum Technology/Technician;RAE
Quality Control Technology/Technician;RAE
Vehicle Emissions Inspection and Maintenance Techology;RAE
Vehicle Maintenance and Repair Technology;RAE
Baking and Pastry Arts/Baker/Pastry Chef;RAE
Cooking and Related Culinary Arts;RAE
Culinary Arts/Chef Training;RAE
Animal/Livestock Husbandry and Production;RAE
Diagnostic Medical Sonography/Sonographer and Ultrasound Techinican;RAE
Emergency Medical Technology/Technician (EMT Paramedic);RAE
Fire Science/Fire Fighting;RAE
Horse Husbandry/Equine Science and Management;RAE
Aesthetician/Esthetician and Skin Care Specialist;RAE
Facial Treatment Specialist/Facialist;RAE
Agricultural Power Machinery Operation;RAE
Assertive/Argumentative Technology and Rehabilitation Egineering;RAE
Meat Cutting/Meat Cutter;RAE
Orthodontics/Orthodontology;RAE
Bicycle Mechanics and Repair Technology/Technician;RAE
Precision Metal Working;RAE
Agricultural Mechanization;RAE
Agricultural Teacher Education;RAE
Commercial Fishing;RAE
Communications Systems Installation and Repair Technology;RAE
Diesel Mechanics Technology/Technician;RAE
Greenhouse Operations and Management;RAE
Industrial Mechanics and Maintenance Technology;RAE
Marine Maintenance/Fitter and Ship Repair Technology/Technician;RAE
Metal Building Assembly/Assembler;RAE
Metallurgical Technology/Technician;RAE
Plumbing Techology/Plumber;RAE
Sheet Metal Technology/Sheetworking;RAE
"Traffic, Customs, and Transportation Clerk/Technician";RAE
Turf and Turfgrass Management;RAE
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician;RAE
Woodworking;RAE
Graphic Communications;RAE
Agricultural Animal Breeding;RAE
Animal Training;RAE
Building/Property Maintenance;RAE
Concrete Finishing/Concrete Finisher;RAE
"Diver, Professional and Instructor";RAE
Equestrian/Equine Studies;RAE
Fishing and Fisheries Science and Management;RAE
Health and Physical Education/Fitness;RAE
"Heating, Air Conditioning, Vetilation, and Refrigeration Maintenance Technology/Techician";RAE
"Heating, Ventilation, Air Conditioning, and Refrigeration Engineering Technology/Technician";RAE
Maritime Studies;RAE
Mason/Maasonry;RAE
Massage Therapy/Therapeutic Massage;RAE
Agribusiness/Agricultural Business Operations;RAE
Agricultural Busiess and Management;RAE
Agricultural Business Technology;RAE
Building/Home/Costruction Inspection/Inspector;RAE
Criminalistics and Criminal Science;RAE
Dental Laboratory Techology/Technician;RAE
Locksmithing and Safe Repair;RAE
Metal and Jewelry Arts;RAE
Plastics and Polymer Engineering Technology/Technician;RAE
Roofer;RAE
Small Engine Mechanics and Repair Technology/Technician;RAE
Watchmaking and Jewelry Making;RAE
Automobile/Automotive Mechanics Technology/Technician;RAE
Automotive Engineering Technology/Technician;RAE
Construction/Heavy Equipment/Earthmoving Equipment Operation;RAE
Dog/Pet/Animal Grooming;RAE
Electrocardiograph Technology/Technician;RAE
Engineering Acoustics;RAE
Industrial Electronics Technology/Technician;RAE
Integrated Circuit Design;RAE
Mortuary Science and Embalming/Embalmer;RAE
Operational Oceanography;RAE
Photographic and Film/Video Technology/Technician and Assistant;RAE
Printing Press Operator;RAE
Radar Communications ad Systems Technology;RAE
Recording  Arts Technology/Technician;RAE
Recreation Vehicle (RV) Service Technician;RAE
Semiconductor Manufacturing Technology;RAE
Solar Energy Technology/Technician;RAE
Tool and Die Technology/Technician;RAE
Undersea Warfare;RAE
Electrical and Power Transmission Installation;RAE
Electroneurodiagostic/Electroencephalographic Technology/Technologist;RAE
Furniture Design and Manufacturing;RAE
Industrial Radiologic Technology/Technician;RAE
Medium/Heavy Vehicle and Truck Technology/Technician;RAE
Nuclear and Industrial Radiologic Technology/Technician;RAE
Nuclear Engineering Technology/Technician;RAE
Nuclear/Nuclear Power Technology/Technician;RAE
